station,longitude,latitude,elevation,depth_t,uncert_t,qual_t,depth_c,uncert_c,qual_c,depth_m,uncert_m,qual_m,thick0,thick1,thick2,vs0,vs1,vs2,vpvs0,vpvs1,vpvs2,strike,dip
PO.VW03,-126.92299999999999,50.083999999999996,0.15,28.871,2.1,B,31.851,2.1,B,39.2437,2.1,B,29.021,2.98,7.3927,3.9469,2.401,3.4968,1.6799009999999999,2.311995,1.8212080000000002,-15.9,16.4
CN.FHBB,-127.115,50.06,0.01,23.4729,2.1,B,28.6802,2.1,B,48.0946,2.1,B,23.4829,5.2073,19.4144,3.938,2.6266,3.2642,1.6703150000000002,2.022424,1.775565,89.4,5.1
CN.FHBB,-127.115,50.06,0.01,22.382,3.6,B,24.5947,1.4,C,31.7236,1.4,C,22.392,2.2127,7.1289,3.5035,1.378,3.2626,1.766548,1.7772860000000001,1.7731560000000002,-43.0,12.4
PO.VI12,-127.119,50.053999999999995,0.01,23.8012,2.1,B,27.4393,1.4,B,48.128,1.4,B,23.8112,3.6381,20.6887,3.8806,2.3425,3.27,1.670566,2.230438,1.7710400000000002,89.5,6.1
CN.CBB,-125.365,50.032,0.28,48.5193,2.9,A,54.8005,4.3,C,66.2146,3.6,C,48.7993,6.2812,11.4141,3.7146,1.9546,3.8574,1.6944759999999999,3.13481,1.771426,-19.3,40.9
PO.VI11,-126.85700000000001,49.989,0.16,28.6556,2.9,A,33.1262,2.1,A,37.327,2.1,A,28.8156,4.4706,4.2008,3.8251,2.8449,4.0295,1.7005830000000002,1.9911419999999997,1.7713860000000001,-42.6,16.4
C8.TASB,-126.65100000000001,49.927,0.02,20.7765,6.4,C,31.9764,6.4,C,37.3182,6.4,C,20.7965,11.1999,5.3418,3.5008,3.0435,3.7763,1.8309810000000002,2.00368,1.898684,79.5,27.3
PO.VI56,-126.21,49.925,0.32,27.9051,2.1,A,36.654,3.6,A,46.0883,3.6,A,28.2251,8.7489,9.4343,3.9325,2.387,3.7589,1.674406,1.7738169999999998,1.7716349999999998,-21.5,23.7
C8.SPLB,-125.65299999999999,49.891999999999996,0.28,31.2284,2.1,A,36.3568,2.1,A,46.9338,2.9,A,31.5084,5.1284,10.577,3.639,2.5439,3.4181,1.8545479999999999,2.018397,1.7710419999999998,-48.1,9.5
CN.TAHB,-126.677,49.891999999999996,0.46,20.647,1.4,A,27.9144,2.1,A,34.495,0.7,A,21.107,7.2674,6.5806,3.5349,3.2857,3.8476,1.6713060000000002,2.070822,1.651029,-21.3,13.5
CN.EDB,-127.12200000000001,49.873000000000005,0.15,14.3095,2.1,A,19.6145,2.9,A,22.5982,2.1,A,14.4595,5.305,2.9837,3.939,1.9383,3.2623,1.8593549999999999,1.892896,1.796156,-21.9,0.0
